Phyla,AveCercozoa,AveChlorophyta,AveChromerida,AveCryptophyta,AveEuglenophyta,AveHaptophyta,AveMiozoa,AveOchrophyta,AvePelagophyta,AveRhodophyta,AveStreptophyta
vFam_1012,0,0.04347826087,0,0,0,0.1111111111,0,0,0,0.2857142857,0
vFam_40,0.6666666667,0.652173913,0,0.5,2,1.444444444,0.4545454545,0.02380952381,0,0,84
vFam_1134,264.6666667,66.86956522,937,182.25,4.5,340.2222222,160.3636364,105.9761905,139,36.42857143,65
vFam_631,0.6666666667,0.6666666667,0,0.5,2,0.6666666667,0.3636363636,0.04761904762,0,0,60
vFam_321,183.6666667,45.91304348,99,199,4.5,52.88888889,37.81818182,130.4047619,170,90,35
vFam_128,164,35.36231884,604,88,2.5,181.7777778,91.45454545,71.71428571,33,19.57142857,26
vFam_622,167,45.7826087,101,184.75,8.5,47.55555556,38.09090909,128.0952381,143,84.14285714,24
vFam_95,160.6666667,45.43478261,72,185.5,6.5,51.55555556,35.90909091,111.9285714,153,73,24
vFam_37,79.66666667,40.8115942,104,26.75,93.5,31.33333333,4.636363636,28.78571429,2,162.2857143,21
vFam_798,1,1.739130435,3,1,0.5,1.888888889,1,1.214285714,1,1,21
vFam_164,199.3333333,44.43478261,714,185.5,1.5,232.1111111,84.54545455,86.83333333,50,23.28571429,18
vFam_1824,0,0.231884058,0,0,0,0,0,0,0,0,18
vFam_1976,1,1.217391304,2,0.5,0.5,1.222222222,0.6363636364,1.166666667,1,1,16
vFam_632,67,34.05797101,109,27.75,4,39.66666667,56.27272727,44.78571429,3,0.2857142857,16
vFam_803,0,0.02898550725,0,0,0,0,0,0.1428571429,0,0,16
vFam_1262,0,0.3188405797,0,0,0,0.6666666667,0.6363636364,0.02380952381,0,0,16
vFam_35,17.66666667,50.13043478,78,22.5,8,49.33333333,40.63636364,63.19047619,0,3.428571429,15
vFam_2267,0,0.2898550725,0,0,0,0.1111111111,0.3636363636,0,0,0,15
vFam_398,0,0.2028985507,0,0,1,0.5555555556,0.09090909091,0,0,0,15
vFam_1024,0,0.2173913043,0,0.25,0,0.7777777778,0,0,0,0,15
vFam_359,0.6666666667,1,0,2,0.5,1.666666667,0.2727272727,0.1428571429,1,0,14
vFam_138,2.333333333,0.347826087,0,2.75,0,4.666666667,2.090909091,0.380952381,0,0,14
vFam_2599,0,0.5072463768,0,0,0,1,0.1818181818,0.119047619,0,0,14
vFam_616,0,0.4202898551,0,1.75,0,0.5555555556,0.1818181818,0.02380952381,0,0,14
vFam_2436,0,0.1594202899,0,0,0,0,0.3636363636,0,0,0,14
vFam_1584,1.333333333,0.3913043478,0,1,0,0,0.1818181818,0,0,0,14
vFam_2534,0,0.1304347826,0,0.5,0,0.5555555556,0,0,0,0,14
vFam_2112,0,0.115942029,0,0,0.5,0.1111111111,0,0,0,0,14
vFam_649,0,0.1449275362,0,0,0,0,0,0,0,0,13
vFam_1545,0,0.08695652174,0,0,0,0.7777777778,0,0.04761904762,0,0,12
vFam_1816,0,0.1304347826,0,0,0,0,0.09090909091,0,0,0,12
vFam_2909,0,0.05797101449,0,0,0,0,0.09090909091,0,0,0,12
vFam_3011,74.66666667,18.88405797,48,16.5,10.5,20.33333333,3.181818182,23.78571429,2,128,11
vFam_2642,39.66666667,18.4057971,35,26.25,4,19.22222222,10.27272727,45.9047619,47,36,11
vFam_174,7.666666667,5.47826087,9,8.75,5.5,8.888888889,15.18181818,11.88095238,6,7.857142857,11
vFam_5883,1,0.2173913043,0,0,0,0,0.3636363636,0.04761904762,1,0.1428571429,11
vFam_286,1.333333333,0.3188405797,0,0.75,0,0.8888888889,0.1818181818,0.07142857143,0,0,11
vFam_5513,0,0,0,0,0,0.1111111111,0,0.02380952381,0,0,11
vFam_1692,0,0.01449275362,0,0,0,0.3333333333,0,0,0,0,11
vFam_4139,134.3333333,28.37681159,522,40.75,0,184.2222222,50,53.97619048,11,22.71428571,10
vFam_935,83.66666667,18.24637681,254,29.25,0,130.8888889,31.63636364,33.26190476,9,15.14285714,10
vFam_440,0.6666666667,1.608695652,0,0,0.5,0.3333333333,2,1.285714286,4,0.2857142857,10
vFam_530,19.66666667,2.811594203,0,0,0,0,0,0.4523809524,0,0,10
vFam_2750,0,0.04347826087,0,0,0,0,0.1818181818,0,0,0,10
vFam_3404,0,0.08695652174,0,0,0.5,0,0.09090909091,0,0,0,10
vFam_290,59,19.95652174,20,51.25,0.5,29.88888889,12.09090909,56.85714286,52,17.14285714,9
vFam_126,9.333333333,6.47826087,16,10.75,4,8.444444444,5.909090909,12.73809524,17,4.428571429,9
vFam_5579,0,0.1594202899,0,0.75,0,0,0.2727272727,0.02380952381,0,0,9
vFam_1845,0,0,0,0,0,0,0,0,0,0,9
vFam_2918,23.66666667,12.65217391,9,21.75,1,12.33333333,7.363636364,34.35714286,46,26.71428571,8
vFam_4734,35.33333333,6.289855072,15,11.5,4.5,7.777777778,3.363636364,15.0952381,21,9.142857143,8
vFam_183,4.666666667,4.608695652,5,12.5,2,4.888888889,4.272727273,7.357142857,12,2.428571429,8
vFam_86,8,7.811594203,43,111,7.5,22.55555556,11.18181818,30.83333333,33,0,8
vFam_1742,0,0.05797101449,0,0,0,0.4444444444,0,0,0,0,8
vFam_5531,41.66666667,14.14492754,6,45,0,17.77777778,6.545454545,47.35714286,43,28.85714286,7
vFam_5853,10.33333333,3.710144928,0,32.75,0,1.888888889,2.181818182,7.666666667,4,3.142857143,7
vFam_757,4.666666667,5.043478261,0,5.75,0,9.888888889,5.818181818,21.16666667,14,0,6
vFam_451,0,0.1739130435,0,0,0,0,0,0.3571428571,0,0,6
vFam_246,0,0.5362318841,0,1,0,0,0,0.3095238095,0,0,6
vFam_5288,12.33333333,10.23188406,4,12.5,0.5,6.444444444,4.727272727,21.5,24,33.57142857,5
vFam_1884,5.666666667,3.652173913,0,75.75,0,2.333333333,3.090909091,5.333333333,15,9.571428571,5
vFam_4248,6,10.46376812,2,6.25,1,3.888888889,1.636363636,6.761904762,2,4.142857143,5
vFam_5985,3.666666667,15.85507246,31,15.5,2.5,56.33333333,86.81818182,6.80952381,0,3.285714286,5
vFam_158,16,6.202898551,25,6.5,1.5,8.111111111,7.272727273,11.61904762,18,0.2857142857,5
vFam_235,0,0.08695652174,0,0,0,0,0,0.07142857143,0,0.2857142857,5
vFam_5583,0,0.02898550725,0,0,0,0.2222222222,0,0,0,0,5
vFam_3906,14,3.405797101,1,7,0.5,3.555555556,1.545454545,8.69047619,9,4.142857143,4
vFam_1530,52,4.246376812,4,23.75,0,61,4.909090909,11.0952381,18,2.285714286,4
vFam_5194,0,1.202898551,0,1.5,0,0.7777777778,0.2727272727,2,4,0.8571428571,4
vFam_471,0,2.739130435,0,6.75,0,7.111111111,0,2.5,0,0,4
vFam_792,0,0.1739130435,0,0.5,0,0.5555555556,0,0,0,0,4
vFam_4181,0,0.08695652174,0,0,0,0.2222222222,0,0,0,0,4
vFam_4689,0,0,0,0,0,0.1111111111,0,0,0,0,4
vFam_2192,0,0,0,1.75,0,0,0,0,0,0,4
vFam_99,0,0.1304347826,0,0,0,0,0,0,0,0,4
vFam_5287,28.33333333,5.47826087,20,23.75,0.5,5.777777778,5.727272727,20.71428571,16,22.28571429,3
vFam_3234,4.333333333,5.144927536,9,6.25,0.5,2.666666667,2.545454545,11.83333333,2,5.428571429,3
vFam_1019,2.666666667,0.8115942029,0,2.25,0,0.6666666667,0,1.785714286,1,4.857142857,3
vFam_5143,7.666666667,1.971014493,4,5.25,0,2.333333333,1,4.547619048,6,4,3
vFam_1956,1.333333333,2.420289855,8,7.75,1,1.888888889,1.090909091,4.071428571,6,3,3
vFam_5463,3.333333333,5.884057971,4,2.25,2,1.666666667,0.6363636364,3.523809524,3,1.714285714,3
vFam_577,2,0.768115942,0,1.25,0,0.6666666667,0.1818181818,2.333333333,2,1.714285714,3
vFam_929,0.6666666667,1.507246377,2,1.75,0,2,0.6363636364,2.30952381,3,1.428571429,3
vFam_917,0,2.362318841,1,0.5,0.5,1.888888889,1.818181818,3.857142857,3,1.285714286,3
vFam_209,4.333333333,1.333333333,0,2.75,0,1.888888889,0.8181818182,1.357142857,0,1.285714286,3
vFam_5367,2.333333333,0.3043478261,1,0,0,0.1111111111,0.1818181818,0.7380952381,1,1,3
vFam_3966,11.33333333,2.869565217,20,4.25,1,4,3.181818182,6.5,26,0.5714285714,3
vFam_4581,11.33333333,0.7971014493,0,9.75,0,1,0.7272727273,7.69047619,2,0.5714285714,3
vFam_4105,0,0.1594202899,0,0.25,0,1.333333333,0.4545454545,0.6666666667,4,0.2857142857,3
vFam_4129,3.333333333,4.898550725,27,73.5,0,17.44444444,8.090909091,26.85714286,41,0,3
vFam_3895,0,0.05797101449,0,0,0,0.1111111111,0.09090909091,0,0,0,3
vFam_3113,40,6.898550725,10,28.25,3,8.888888889,5.090909091,20.07142857,39,31.28571429,2
vFam_41,27,3,0,60,1,2.777777778,4,9.30952381,8,21.57142857,2
vFam_236,11.66666667,2.043478261,1,9.5,0,4.111111111,0.8181818182,6.857142857,0,10.14285714,2
vFam_2933,6,6.449275362,6,15.25,1.5,6.666666667,4.363636364,20.19047619,10,5.571428571,2
vFam_4273,5,3.376811594,0,5,0,2.666666667,1.090909091,5.595238095,9,4.571428571,2
vFam_3280,5.666666667,2.550724638,4,6,0,0.6666666667,2.545454545,9.047619048,3,4.571428571,2
vFam_2570,3.333333333,2.188405797,0,7.25,1,3,0.2727272727,4.547619048,3,3.428571429,2
vFam_3355,2.666666667,1.927536232,2,0.25,0.5,2.111111111,1.181818182,6.5,2,2.857142857,2
vFam_4066,4,1.898550725,3,3,2,2.111111111,0.7272727273,2.071428571,7,2.571428571,2
vFam_1943,1.666666667,0.6666666667,1,1,0,0.6666666667,0.09090909091,1.285714286,0,2.428571429,2
vFam_660,2,0.8985507246,0,1.25,0,0.5555555556,0.4545454545,1.642857143,1,2.285714286,2
vFam_3302,0,1.826086957,0,0,0,3,2.181818182,11.0952381,0,2.285714286,2
vFam_167,2.333333333,1.942028986,2,3,0,1.222222222,1.272727273,2.80952381,5,1.857142857,2
vFam_4206,2.666666667,0.9855072464,5,1.75,0,3,0.3636363636,2.666666667,4,1.714285714,2
vFam_4000,3.333333333,1.217391304,2,2,1,1.333333333,1.181818182,2,2,1.142857143,2
vFam_47,2.333333333,0.9855072464,0,1.5,0.5,0.8888888889,0.8181818182,1.80952381,2,1.142857143,2
vFam_4543,0,0.7971014493,2,0,0,1.555555556,0.2727272727,1.5,2,1.142857143,2
vFam_1153,45.66666667,3.130434783,0,19.5,0,54.33333333,4.181818182,5.714285714,7,1,2
vFam_5882,1,0.3333333333,1,0.5,0.5,0.1111111111,0.4545454545,0.2857142857,1,1,2
vFam_4122,0,0.1739130435,0,0,0,0.1111111111,0.4545454545,0.7619047619,1,0.8571428571,2
vFam_3304,2,0.2608695652,0,0,0,0.3333333333,0,0.2142857143,0,0.7142857143,2
vFam_2207,18,3.15942029,20,6.25,0,4.555555556,3.818181818,7.357142857,17,0.5714285714,2
vFam_735,10,2.144927536,15,5,0,2.111111111,2.181818182,5.833333333,16,0,2
vFam_1621,1.333333333,2.550724638,0,2.75,0,4.111111111,3,12.26190476,14,0,2
vFam_462,2,2.971014493,10,36.75,0,7.222222222,3.818181818,19.16666667,11,0,2
vFam_4642,0,0.1594202899,2,0,0,0,0,0.1666666667,0,0,2
vFam_3169,0,0,0,0,0,0.1111111111,0,0,0,0,2
vFam_3987,0.3333333333,5.231884058,3,1.25,11,8.777777778,1.454545455,7.857142857,1,54.85714286,1
vFam_3219,15,7.173913043,7,17.5,1,9.444444444,5.909090909,24.95238095,16,8,1
vFam_4676,2.333333333,2.304347826,2,2,1,1.555555556,0.8181818182,3.214285714,2,5.714285714,1
vFam_2530,2.666666667,1.275362319,0,5,0,0.5555555556,0.1818181818,0.619047619,1,3,1
vFam_3786,2,5.362318841,5,6.25,1,5,0.2727272727,2.833333333,1,2.857142857,1
vFam_4884,1,0.3913043478,1,0.5,0,0,0.3636363636,1.333333333,2,1.571428571,1
vFam_1129,4,1.043478261,1,1,0,0.6666666667,0.9090909091,1.738095238,1,1.571428571,1
vFam_3949,3,1.130434783,0,1.5,0,1,0.7272727273,3.357142857,2,1.428571429,1
vFam_3713,1.333333333,1.68115942,1,0,0,1.222222222,0.4545454545,1.69047619,1,1.428571429,1
vFam_2064,1,0.3913043478,0,0.75,0.5,0.1111111111,0.3636363636,0.8333333333,0,1.428571429,1
vFam_993,4,0.6086956522,1,1,0,0.4444444444,0.9090909091,1.380952381,0,1.285714286,1
vFam_4782,0,0.3188405797,1,0.75,0,0,0.1818181818,0.8333333333,0,1.285714286,1
vFam_883,5.666666667,1.086956522,0,2.75,0,2.111111111,1.363636364,4.642857143,5,1.142857143,1
vFam_238,0.6666666667,0.6376811594,1,0.5,0,0.3333333333,0.2727272727,2.785714286,3,1.142857143,1
vFam_609,2.666666667,0.8260869565,0,0.75,0,1,0.1818181818,2.357142857,0,1.142857143,1
vFam_1233,9,3.15942029,2,8.5,4,66.55555556,1.454545455,25.88095238,18,0.8571428571,1
vFam_1576,1,0.1014492754,10,0,0,0.3333333333,2.363636364,0,1,0.8571428571,1
vFam_1977,1,0.08695652174,10,0,0,0,2.363636364,0,1,0.7142857143,1
vFam_3337,0.6666666667,1.072463768,0,2,0,0.8888888889,1.090909091,2.476190476,2,0.5714285714,1
vFam_215,0.6666666667,0.2608695652,0,0,0,0.1111111111,0.1818181818,0.1666666667,0,0.4285714286,1
vFam_4247,0,0.1014492754,0,0,0,0.2222222222,0.09090909091,0.09523809524,0,0.4285714286,1
vFam_181,0.6666666667,0.768115942,0,4.25,0,2.111111111,1.545454545,1.166666667,0,0.2857142857,1
vFam_445,2,0.4202898551,0,1,0,0.6666666667,0.3636363636,1.904761905,0,0.1428571429,1
vFam_3017,0,0.05797101449,3,1,0,0.2222222222,0.1818181818,0.3095238095,0,0.1428571429,1
vFam_1137,0,1.144927536,0,0,3.5,0,0,0.5714285714,0,0,1
vFam_1426,0,0.4202898551,0,0.5,0,0.3333333333,0.4545454545,0,0,0,1
vFam_3251,0,0.04347826087,0,0,0.5,0,0,0,0,0,1
vFam_3445,0,0.02898550725,0,0,0,0,0,0,0,0,1
vFam_4568,0,0.02898550725,0,0,0,0,0,0,0,0,1
vFam_2147,15.33333333,0.8115942029,0,2.5,2.5,1.666666667,0.6363636364,1.30952381,26,30.14285714,0
vFam_3111,25.66666667,3.101449275,6,14,1,3.444444444,3.181818182,13.83333333,11,20.85714286,0
vFam_4079,19.66666667,8.434782609,3,14,0,8.555555556,3.727272727,20.66666667,26,19.71428571,0
vFam_4137,22.33333333,8.333333333,90,7,0,112.6666667,14.27272727,15.38095238,3,12.71428571,0
vFam_4635,22,7.927536232,5,62,0,307,26.81818182,14,8,12,0
vFam_4138,62.33333333,23.68115942,193,52.75,1.5,110.2222222,45.18181818,41.26190476,7,11.14285714,0
vFam_4586,6.333333333,2.782608696,2,9,0,2.666666667,2.363636364,10.16666667,3,8.285714286,0
vFam_3289,4.666666667,3.797101449,2,6,0.5,5.111111111,0.9090909091,5.357142857,3,7,0
vFam_252,5.666666667,3.68115942,0,12.75,0,4,3.727272727,17.64285714,10,6,0
vFam_1179,7,3.289855072,3,9.75,0.5,2.111111111,3.909090909,14.66666667,7,6,0
vFam_4802,2.333333333,3.101449275,2,2.75,1.5,3.222222222,1.818181818,6.833333333,13,5.571428571,0
vFam_621,7.333333333,2.637681159,13,6.5,0,3.444444444,1.454545455,9.261904762,6,5,0
vFam_5791,0,0,0,0,0,0,0,0,0,4.857142857,0
vFam_4078,2,2.782608696,7,4,0.5,2.333333333,1.272727273,5.119047619,6,4.714285714,0
vFam_601,3.333333333,1.101449275,3,3.25,0,2.222222222,0.2727272727,2.5,2,4.428571429,0
vFam_2531,4,1.434782609,0,2.75,0,1.333333333,0.3636363636,1.261904762,2,4.428571429,0
vFam_5692,28.66666667,13.57971014,68,7.25,1,102,27.09090909,16.71428571,0,4.285714286,0
vFam_2297,3.333333333,1.550724638,3,3,0.5,1,0.5454545455,4.142857143,2,4.142857143,0
vFam_2035,0.3333333333,1,0,3.75,1,0.5555555556,0.3636363636,1.619047619,0,4,0
vFam_3299,2,2.608695652,0,4.5,0,2.444444444,1.363636364,9.285714286,12,3.857142857,0
vFam_2798,10,2.507246377,2,0,0,0.6666666667,1.363636364,5.642857143,9,3.857142857,0
vFam_6153,0,1.260869565,0,1.5,0,1.666666667,1.272727273,4.571428571,3,3.714285714,0
vFam_1034,1.666666667,2.15942029,0,1.75,0,2.777777778,1.636363636,3.285714286,1,3.714285714,0
vFam_3640,4,1.304347826,4,39.5,0,0.3333333333,1.454545455,3.547619048,7,3.571428571,0
vFam_69,5.333333333,2.231884058,0,10.5,0,2.777777778,1.818181818,5.30952381,6,3.285714286,0
vFam_5792,1.333333333,2.043478261,1,1,0.5,0.7777777778,0.09090909091,1.904761905,2,3.285714286,0
vFam_2640,0.6666666667,0.9275362319,0,3,0,0.4444444444,0,0.5476190476,0,3.285714286,0
vFam_6570,19,5.47826087,0,4.75,11.5,95.44444444,4.090909091,10.4047619,15,3.142857143,0
vFam_1600,22,4.884057971,0,0.75,11.5,82,2.909090909,15.45238095,12,3.142857143,0
vFam_254,7.666666667,2.594202899,0,11.75,0,3.555555556,1.909090909,5.547619048,6,3,0
vFam_5388,7.333333333,0.768115942,0,1.75,0,2.333333333,0.1818181818,3.666666667,4,3,0
vFam_613,10.33333333,3.043478261,0,9.5,1,61.55555556,2.545454545,33.14285714,48,2.857142857,0
vFam_1881,4.666666667,2.086956522,1,6.5,0,3.555555556,1.272727273,5.071428571,19,2.857142857,0
vFam_5317,1.333333333,1.710144928,1,2.5,0,0.3333333333,0.5454545455,2.976190476,1,2.857142857,0
vFam_3116,6,0.4057971014,3,2.75,0,0.2222222222,0.1818181818,2.166666667,0,2.857142857,0
vFam_892,43.33333333,18.47826087,220,17.5,0,131.8888889,25.36363636,40.76190476,8,2.714285714,0
vFam_268,10.33333333,2.623188406,12,8,1,3.333333333,2,4.476190476,6,2.714285714,0
vFam_5845,0,0.4637681159,0,0.25,0,1,0.7272727273,2,1,2.714285714,0
vFam_3158,2,0.7101449275,0,0,0,0.3333333333,0.3636363636,1.69047619,4,2.571428571,0
vFam_2211,6,1.942028986,0,1.5,0,1,0.5454545455,2.761904762,3,2.571428571,0
vFam_5321,0,0.9420289855,0,0,0,0,0.09090909091,0.1666666667,0,2.428571429,0
vFam_4379,2,0.3623188406,5,3,0,0,1,4.785714286,0,2.285714286,0
vFam_1307,0.3333333333,0.3623188406,0,0,0,0.5555555556,0.2727272727,0.8333333333,0,2.285714286,0
vFam_615,0,0.3623188406,0,2.25,0.5,0.8888888889,0,0.5952380952,0,2.285714286,0
vFam_2977,0,0.2753623188,0,0,0,0.1111111111,0,0.3095238095,0,2.285714286,0
vFam_550,0,0.04347826087,0,0.75,0,0,0,0.04761904762,0,2.285714286,0
vFam_5710,2,0.9565217391,0,0,0,0.6666666667,0.5454545455,2.619047619,3,2.142857143,0
vFam_3494,0,0.4927536232,0,0.75,0.5,0.3333333333,0.3636363636,1.19047619,0,1.857142857,0
vFam_4820,0,0,0,0,0,0,0,0,0,1.857142857,0
vFam_2927,4.666666667,1.449275362,1,2.5,0,1.777777778,0.6363636364,3.833333333,4,1.714285714,0
vFam_2313,5.333333333,0.5942028986,0,2.75,0,1.666666667,0.4545454545,3.571428571,2,1.714285714,0
vFam_1387,6.666666667,1.797101449,0,1.5,0,1.111111111,2.272727273,9.404761905,0,1.714285714,0
